Date,Close,High,Low,Open,Volume
28-08-2020,184.3899994,185.3999939,183.3999939,183.9799957,13200800
31-08-2020,184.8300018,185.5299988,184.2799988,184.7899933,10251200
01-09-2020,185.0500031,186.9900055,184.3300018,186.9900055,10662100
02-09-2020,182.6199951,183.8600006,181.5,183.75,11536900
03-09-2020,181.1399994,182.8200073,180.4900055,182.3000031,12148100
04-09-2020,181.6399994,182.1000061,180.0500031,180.9499969,11567900
08-09-2020,181.2899933,182.2700043,179.0200043,179.5,13229200
09-09-2020,183.0500031,183.2200012,182.1900024,182.5,8424100
10-09-2020,182.4600067,184.6799927,182.2799988,184.2299957,9143600
11-09-2020,182.4499969,183.5500031,182.0099945,183.1399994,7662300
14-09-2020,183.8899994,184.3000031,183.3899994,183.5700073,9709500
15-09-2020,183.4499969,184.6699982,182.9199982,184.4600067,7993700
16-09-2020,183.9700012,185.0099945,183.3300018,184.9799957,12702400
17-09-2020,182.9600067,183.0899963,181.4799957,181.9199982,8836200
18-09-2020,183.1999969,184.0899963,182.6399994,183.0700073,9959700
21-09-2020,179.5200043,180.2899933,176.75,179.8399963,17436100
22-09-2020,178.6499939,180.0200043,178.1100006,179.6300049,7977900
23-09-2020,174.7899933,177.2599945,174.1000061,176.9799957,18134000
24-09-2020,175.4400024,176.2400055,173.7700043,174.3600006,11759200
25-09-2020,174.9400024,175.3000031,173.8899994,174.4100037,6779200
28-09-2020,176.6999969,176.8099976,175.0899963,175.8300018,7109700
29-09-2020,178.1900024,178.3300018,176.9499969,177.1900024,8718500
30-09-2020,177.1199951,178.6100006,176.6600037,177.7100067,8371800
01-10-2020,178.6999969,179.5,178.0399933,178.7100067,10402800
02-10-2020,178.5399933,179.2899933,178.1600037,178.6900024,7488500
05-10-2020,179.4100037,180.1399994,178.8999939,179.0200043,6969600
06-10-2020,177.3000031,180.3699951,177.0500031,180.1600037,8632800
07-10-2020,177.2200012,177.4199982,176.4299927,177.0899963,6410900
08-10-2020,177.8500061,178.4499969,176.6699982,178.1799927,6530800
09-10-2020,181.0800018,181.1699982,179.9299927,180.1300049,15979800
12-10-2020,180.5599976,180.8300018,180.1900024,180.5700073,4843000
13-10-2020,177.7200012,178.6000061,177.1000061,178.5599976,8384300
14-10-2020,178.2700043,179.5899963,178.2700043,179.0899963,9076600
15-10-2020,178.9199982,179.1499939,177.5899963,177.7100067,6815400
16-10-2020,178.3000031,179.3200073,178.1300049,179.2200012,7260700
19-10-2020,178.3899994,179.4799957,178.3699951,179.4100037,6084400
20-10-2020,179.25,179.6699982,178.0800018,178.5399933,7121400
21-10-2020,180.6000061,181.3099976,180.2299957,180.4700012,7548100
22-10-2020,178.8300018,179.0299988,177.7200012,178.8800049,8377000
23-10-2020,178.6399994,179.1999969,177.7599945,179.0899963,5919300
26-10-2020,178.5500031,179.1399994,178.2200012,178.75,5105100
27-10-2020,179.0200043,179.4299927,178.5099945,178.7100067,5826900
28-10-2020,176.1300049,176.8500061,175.4400024,176.4499969,11734100
29-10-2020,175.3999939,176.1399994,174.8300018,175.0200043,8474500
30-10-2020,176.1999969,177.3600006,175.9499969,177.1799927,7303000
02-11-2020,177.9100037,177.9299927,177.1300049,177.4499969,6498400
03-11-2020,178.9199982,179.3899994,178.3000031,178.9499969,7577200
04-11-2020,178.8200073,179.1900024,177.6600037,178.9299927,11117300
05-11-2020,182.9299927,183.2899933,180.9700012,181,16102800
06-11-2020,183.1900024,183.5299988,182.1900024,183.3999939,10378300
09-11-2020,175.0800018,176.4499969,173.6399994,176.4199982,29800700
10-11-2020,175.6600037,176.9100037,175.6600037,176.75,11728500
11-11-2020,174.8999939,175.2799988,174.4400024,174.6999969,9008500
12-11-2020,175.9600067,176.7700043,175.8399963,176.0399933,7167900
13-11-2020,177.1600037,177.8000031,176.8399963,177.6499939,6469800
16-11-2020,177.1499939,177.9100037,176.8699951,177.2299957,8358500
17-11-2020,176.5,177.4400024,176.0899963,177.25,8229100
18-11-2020,175.4900055,176.8600006,175.3500061,176.2599945,7384700
19-11-2020,175.1600037,175.2200012,174.1699982,174.3000031,6965100
20-11-2020,175.6900024,176.3800049,175.5800018,176.1199951,6379400
23-11-2020,172.2299957,175.2400055,171.7799988,175.1000061,15510600
24-11-2020,169.5899963,169.6900024,168.8600006,169.3000031,19504000
25-11-2020,169.5099945,170.5200043,169.2400055,169.9799957,10286600
27-11-2020,167.7899933,167.8300018,166.7799988,166.8999939,10569100
30-11-2020,166.6699982,167.4299927,166.0299988,166.6799927,13210000
01-12-2020,170.1799927,170.4799957,169.3000031,169.7599945,13533300
02-12-2020,171.4600067,171.7599945,170.1499939,170.5700073,9199700
03-12-2020,172.8099976,172.8500061,171.0800018,172.6399994,10457300
