DateTime,Date,Time,Year,Month,Day,Hour,Open,High,Low,Close,Volume,Price_Change,Price_Change_Percent
2024-07-12 06:00:00-04:00,2024-07-12,06:00:00,2024,7,12,6,2410.0,2410.699951171875,2404.60009765625,2405.10009765625,5331,-5.0,-0.20746026295183073
2024-07-12 07:00:00-04:00,2024-07-12,07:00:00,2024,7,12,7,2405.300048828125,2407.89990234375,2403.199951171875,2406.800048828125,5634,1.699951171875,0.07068109861754213
2024-07-12 08:00:00-04:00,2024-07-12,08:00:00,2024,7,12,8,2406.800048828125,2409.60009765625,2396.10009765625,2402.699951171875,37014,-4.10009765625,-0.17035472715094535
2024-07-12 09:00:00-04:00,2024-07-12,09:00:00,2024,7,12,9,2403.0,2410.800048828125,2401.60009765625,2408.60009765625,21936,5.900146484375,0.24556318326378612
2024-07-12 10:00:00-04:00,2024-07-12,10:00:00,2024,7,12,10,2408.39990234375,2416.0,2408.39990234375,2414.0,18928,5.39990234375,0.2241925651752963
2024-07-12 11:00:00-04:00,2024-07-12,11:00:00,2024,7,12,11,2414.10009765625,2418.89990234375,2413.199951171875,2416.89990234375,11389,2.89990234375,0.12012851465410535
2024-07-12 12:00:00-04:00,2024-07-12,12:00:00,2024,7,12,12,2416.89990234375,2422.10009765625,2416.89990234375,2421.0,14057,4.10009765625,0.16964284090847936
2024-07-12 13:00:00-04:00,2024-07-12,13:00:00,2024,7,12,13,2421.10009765625,2423.199951171875,2419.60009765625,2422.800048828125,21326,1.800048828125,0.07435145923688768
2024-07-12 14:00:00-04:00,2024-07-12,14:00:00,2024,7,12,14,2422.89990234375,2423.0,2418.699951171875,2419.0,9217,-3.800048828125,-0.1568453339747533
2024-07-12 15:00:00-04:00,2024-07-12,15:00:00,2024,7,12,15,2419.10009765625,2419.699951171875,2417.0,2417.699951171875,3277,-1.300048828125,-0.053743233903469356
2024-07-12 16:00:00-04:00,2024-07-12,16:00:00,2024,7,12,16,2417.60009765625,2417.699951171875,2415.60009765625,2416.0,2607,-1.699951171875,-0.07031274377331531
2024-07-14 18:00:00-04:00,2024-07-14,18:00:00,2024,7,14,18,2419.300048828125,2420.0,2411.300048828125,2412.0,3210,-4.0,-0.16556291390728006
2024-07-14 19:00:00-04:00,2024-07-14,19:00:00,2024,7,14,19,2412.0,2413.300048828125,2410.10009765625,2413.199951171875,2031,1.199951171875,0.04974921939779886
2024-07-14 20:00:00-04:00,2024-07-14,20:00:00,2024,7,14,20,2413.199951171875,2413.699951171875,2411.0,2413.199951171875,2441,0.0,0.0
2024-07-14 21:00:00-04:00,2024-07-14,21:00:00,2024,7,14,21,2413.300048828125,2415.199951171875,2409.60009765625,2414.89990234375,3482,1.699951171875,0.07044385903660633
2024-07-14 22:00:00-04:00,2024-07-14,22:00:00,2024,7,14,22,2415.0,2415.699951171875,2412.89990234375,2414.0,2509,-0.89990234375,-0.03726458156202428
2024-07-14 23:00:00-04:00,2024-07-14,23:00:00,2024,7,14,23,2414.0,2416.800048828125,2413.10009765625,2416.39990234375,1246,2.39990234375,0.09941600429783648
2024-07-15 00:00:00-04:00,2024-07-15,00:00:00,2024,7,15,0,2416.5,2418.199951171875,2415.39990234375,2416.199951171875,1329,-0.199951171875,-0.008274755005621692
2024-07-15 01:00:00-04:00,2024-07-15,01:00:00,2024,7,15,1,2416.300048828125,2418.699951171875,2412.800048828125,2412.800048828125,3738,-3.39990234375,-0.14071278919201013
2024-07-15 02:00:00-04:00,2024-07-15,02:00:00,2024,7,15,2,2413.0,2413.10009765625,2406.800048828125,2408.0,5030,-4.800048828125,-0.19894101172852618
2024-07-15 03:00:00-04:00,2024-07-15,03:00:00,2024,7,15,3,2408.0,2412.699951171875,2406.10009765625,2412.60009765625,6153,4.60009765625,0.1910339558243379
2024-07-15 04:00:00-04:00,2024-07-15,04:00:00,2024,7,15,4,2412.60009765625,2416.800048828125,2411.5,2416.699951171875,6474,4.099853515625,0.16993506381799417
2024-07-15 05:00:00-04:00,2024-07-15,05:00:00,2024,7,15,5,2416.699951171875,2417.300048828125,2412.39990234375,2415.300048828125,6993,-1.39990234375,-0.05792619572285718
2024-07-15 06:00:00-04:00,2024-07-15,06:00:00,2024,7,15,6,2415.39990234375,2420.699951171875,2415.39990234375,2419.699951171875,6187,4.39990234375,0.18216793999921155
2024-07-15 07:00:00-04:00,2024-07-15,07:00:00,2024,7,15,7,2419.699951171875,2425.39990234375,2419.5,2423.0,10964,3.300048828125,0.13638256373591506
2024-07-15 08:00:00-04:00,2024-07-15,08:00:00,2024,7,15,8,2423.199951171875,2425.800048828125,2418.199951171875,2419.60009765625,11763,-3.39990234375,-0.14031788459554217
2024-07-15 09:00:00-04:00,2024-07-15,09:00:00,2024,7,15,9,2419.5,2424.0,2416.300048828125,2423.699951171875,16493,4.099853515625,0.16944343487159674
2024-07-15 10:00:00-04:00,2024-07-15,10:00:00,2024,7,15,10,2423.699951171875,2437.0,2422.800048828125,2436.5,28887,12.800048828125,0.52812019169024
2024-07-15 11:00:00-04:00,2024-07-15,11:00:00,2024,7,15,11,2436.5,2442.39990234375,2436.300048828125,2438.199951171875,23613,1.699951171875,0.06977021021443708
2024-07-15 12:00:00-04:00,2024-07-15,12:00:00,2024,7,15,12,2438.199951171875,2445.0,2434.60009765625,2435.300048828125,19069,-2.89990234375,-0.1189361989100246
2024-07-15 13:00:00-04:00,2024-07-15,13:00:00,2024,7,15,13,2435.300048828125,2435.300048828125,2425.199951171875,2426.300048828125,13525,-9.0,-0.3695643173140306
2024-07-15 14:00:00-04:00,2024-07-15,14:00:00,2024,7,15,14,2426.300048828125,2429.5,2424.5,2427.10009765625,7001,0.800048828125,0.03297402679076633
2024-07-15 15:00:00-04:00,2024-07-15,15:00:00,2024,7,15,15,2427.0,2428.0,2424.800048828125,2426.0,5241,-1.10009765625,-0.04532559894470101
2024-07-15 16:00:00-04:00,2024-07-15,16:00:00,2024,7,15,16,2426.10009765625,2427.5,2425.5,2427.39990234375,1710,1.39990234375,0.057704136180958265
2024-07-15 18:00:00-04:00,2024-07-15,18:00:00,2024,7,15,18,2427.10009765625,2427.300048828125,2425.5,2425.699951171875,0,-1.699951171875,-0.07003177227755675
2024-07-15 19:00:00-04:00,2024-07-15,19:00:00,2024,7,15,19,2425.60009765625,2427.300048828125,2425.60009765625,2427.10009765625,975,1.400146484375,0.05772133868817697
2024-07-15 20:00:00-04:00,2024-07-15,20:00:00,2024,7,15,20,2427.10009765625,2427.39990234375,2424.5,2425.800048828125,2301,-1.300048828125,-0.05356387358643744
2024-07-15 21:00:00-04:00,2024-07-15,21:00:00,2024,7,15,21,2425.89990234375,2432.60009765625,2425.800048828125,2431.89990234375,5318,6.099853515625,0.2514573910810114
2024-07-15 22:00:00-04:00,2024-07-15,22:00:00,2024,7,15,22,2432.0,2435.199951171875,2430.800048828125,2435.0,4927,3.10009765625,0.12747636747969526
2024-07-15 23:00:00-04:00,2024-07-15,23:00:00,2024,7,15,23,2434.89990234375,2436.300048828125,2431.39990234375,2433.60009765625,3577,-1.39990234375,-0.05749085600615933
