Date,Close,High,Low,Open,Volume,Adj Close,Daily_Return,MA_20,MA_50,MA_200,Volatility_20,Year,Month,Day_of_Week,Quarter
06-03-2024,198.8099976,199.3000031,197.4400024,198.0800018,10459300,198.8099976,0.821540188,189.118499,188.8853995,182.7005996,0.709453262,2024,3,2,1
07-03-2024,199.9400024,200.1100006,198.9100037,199.5399933,8403700,199.9400024,0.568384335,189.6904991,189.0787994,182.7820996,0.708940917,2024,3,3,1
08-03-2024,201.6300049,203.3000031,200.4499969,200.8899994,13540100,201.6300049,0.845254787,190.3554993,189.2769995,182.8741996,0.712870397,2024,3,4,1
11-03-2024,202,202.4100037,201.4600067,201.7100067,7329600,202,0.183502013,191.075499,189.4651996,182.9670496,0.693180407,2024,3,0,1
12-03-2024,199.7899933,200.6300049,199.1600037,200.4199982,9436600,199.7899933,-1.09406273,191.7094986,189.6315994,183.0562496,0.755486221,2024,3,1,1
13-03-2024,201.1900024,201.8600006,200.3500061,200.4400024,5930000,201.1900024,0.700740379,192.5424988,189.8319995,183.1611996,0.642399062,2024,3,2,1
14-03-2024,200.3500061,200.4700012,199.3399963,200.3699951,6865000,200.3500061,-0.417513956,193.3389992,190.0245996,183.2583497,0.661602641,2024,3,3,1
15-03-2024,199.7100067,200.6300049,199.5700073,199.9400024,4556700,199.7100067,-0.319440664,194.0414993,190.2361996,183.3466998,0.678424602,2024,3,4,1
18-03-2024,200.0299988,200.1499939,199.5099945,199.6600037,7206800,200.0299988,0.160228358,194.7259995,190.4503995,183.4352497,0.680008239,2024,3,0,1
19-03-2024,199.8000031,199.8099976,198.9400024,199.6199951,4657500,199.8000031,-0.114980617,195.3424995,190.6593994,183.5154498,0.685210718,2024,3,1,1
20-03-2024,202.1799927,202.6600037,199.1199951,199.1600037,9593800,202.1799927,1.19118598,196.0774994,190.9455994,183.6210997,0.707386245,2024,3,2,1
21-03-2024,201.9700012,203.9199982,200.6000061,203.8800049,7396500,201.9700012,-0.103863618,196.7979996,191.2263995,183.7202497,0.711814596,2024,3,3,1
22-03-2024,200.3500061,201.8600006,199.7200012,201.3200073,6918500,200.3500061,-0.802096899,197.3845001,191.4833997,183.8102998,0.756650607,2024,3,4,1
25-03-2024,200.9900055,201.9499969,200.9700012,201.1900024,4034800,200.9900055,0.319440664,198.0240005,191.7457999,183.9144998,0.746400387,2024,3,0,1
26-03-2024,201.6399994,202.7599945,201.0700073,202.6499939,5752700,201.6399994,0.323396129,198.7060005,191.9843997,184.0100498,0.739273655,2024,3,1,1
27-03-2024,203.1000061,203.2200012,202.3200073,202.3200073,6041000,203.1000061,0.724066018,199.444001,192.2881998,184.1153499,0.742571652,2024,3,2,1
